session_id,dataset_id,legacy_dataset_name,building,capture_date,raw_path,processed_path,oneformer_batch_id,quality_tier,label_status,split,published_dataset_version,checkpoint_usage,notes
session_2026-05-11_18-35-57,ds_datanoah_2026-04-28,dataNoah,unknown,2026-05-11,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-35-57/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-05-11_18-36-16,ds_datanoah_2026-04-28,dataNoah,unknown,2026-05-11,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-36-16/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-05-11_18-42-43,ds_datanoah_2026-04-28,dataNoah,unknown,2026-05-11,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-42-43/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-05-11_18-43-00,ds_datanoah_2026-04-28,dataNoah,unknown,2026-05-11,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-43-00/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-05-11_18-43-16,ds_datanoah_2026-04-28,dataNoah,unknown,2026-05-11,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-43-16/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-05-11_18-43-33,ds_datanoah_2026-04-28,dataNoah,unknown,2026-05-11,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-43-33/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-05-11_18-43-57,ds_datanoah_2026-04-28,dataNoah,unknown,2026-05-11,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-43-57/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-05-11_18-44-13,ds_datanoah_2026-04-28,dataNoah,unknown,2026-05-11,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-44-13/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-05-11_18-44-31,ds_datanoah_2026-04-28,dataNoah,unknown,2026-05-11,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-44-31/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-05-11_18-44-48,ds_datanoah_2026-04-28,dataNoah,unknown,2026-05-11,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-05-11_18-44-48/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
